                        一个新的组合电站 -月报表                       
"                                         时间","2012-01"
电站统计数据
"当月发电量","4574.7 kWh","当月收入","￥ 1,3724","累计总发电量","2.4 GWh","总收入","￥ 720,1278","累计CO2减排","1.44 kt","当月CO2减排","2.74 kg"
设备统计数据
"项目","设备","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","累计"
"发电量 kWh","SG500K3#1","587.8","737.5","308.8","875.5","740.7","402.5","176.1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","3828.9 kWh"
" ","SG250K3#2","383.6","459.4","214.1","549","465.2","271.5","104.7"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","2447.5 kWh"
" ","SG100K3#3","120","122.4","122.4","149.7","149.7","54","54"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","772.2 kWh"
" ","SG100K3#4","116.2","148.2","59.5","176","149.3","79.9","35.6"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","764.7 kWh"
" ","SG100K3#5","113.3","142.8","55.4","174","147.5","76.6","37.4"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","747 kWh"
" ","SG100K3#6","146","148.3","148.4","181","181.1","152.7","79.1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1036.6 kWh"
" ","SG100K3#7","116.2","147.1","147.2","176.7","176.7","150.4","80.4"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","994.7 kWh"
" ","SG5K-B#8","6.1","6.1","6.1","7.3","6.1","3.6","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","37 kWh"
" ","SG5K-B#9","6.4","8.3","3.7","9.7","8.2","4.4","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","42.4 kWh"
" ","SG5K-B#10","5.7","7.8","3.4","9.6","7.8","4.1","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","40.3 kWh"
" ","SG5K-B#11","6.1","8.1","3.7","9.3","8","4.4","2.2"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","41.8 kWh"
" ","SG6K-B#12","3.9","5.1","1.9","6.2","5.1","2.6","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","26.1 kWh"
" ","SG6K-B#13","9.4","11.6","4.6","13.7","11.4","6","2.9"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","59.6 kWh"
" ","SG5K-B#14","13","14.3","8.4","15.5","8.2","11.8","11.8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","83 kWh"
" ","SG5K-B#2777","3.2","3.9","5.6","9.3","4.2","2.3","3.2"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","31.7 kWh"
" ","SG5K-B#1","6.3","8.2","8.2","13.3","13.3","12.2","13.6"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","75.1 kWh"
" ","SG50K3#3","63.2","81.8","32.3","94.3","81.6","42.6","21.9"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","417.7 kWh"
" ","SG6K-B#4","6.1","8.2","2.4","9","7.6","3.9","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","38.7 kWh"
" ","SG5K-B#5","5.6","7.2","3.4","8.2","7","4.1","2"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","37.5 kWh"
" ","SG5K-B#6","5.6","7","3.3","7.4","6.3","4","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","35.5 kWh"
" ","SG50K3#7","62.5","77.8","33","90.7","75.9","43.3","24.9"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","408.1 kWh"
" ","SG6K-B#8","5.8","7.4","2.6","8.2","6.8","3.4","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","36.1 kWh"
" ","SG20K3#9","26.3","29.8","15.7","31.3","28.3","20.6","9"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","161 kWh"
" ","SG6K-B#10","4.8","5.6","2.5","5.1","4.2","3.2","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","27 kWh"
" ","SG50K3#11","60.9","81.1","31.1","97.8","81.4","41.2","23.2"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","416.7 kWh"
" ","SG6K-B#12","6.8","8.7","3","10.6","8.8","4.1","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","44.3 kWh"
" ","SG5K-B#13","6.3","8.1","3.2","7.9","7.1","4.3","2.1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","39 kWh"
